type,adress,price,link_image
Ensemble homme,"Parcelle Assainies, Dakar, Sénégal",150CFA,https://images.coinafrique.com/thumb_5421926_uploaded_image1_1752455963.jpg
Ensemble homme,"Parcelle Assainies, Dakar, Sénégal",150CFA,https://images.coinafrique.com/thumb_5421925_uploaded_image1_1752455865.jpg
Ensemble homme,"Parcelle Assainies, Dakar, Sénégal",150CFA,https://images.coinafrique.com/thumb_5421924_uploaded_image1_1752455779.jpg
Tshirt coton ,"Colobane, Dakar, Sénégal",8 000CFA,https://images.coinafrique.com/thumb_5374565_uploaded_image1_1749920402.jpg
Shorts coton ,"Colobane, Dakar, Sénégal",8 000CFA,https://images.coinafrique.com/thumb_5374534_uploaded_image1_1749919474.jpg
Sorts coton djiene,"Colobane, Dakar, Sénégal",10 000CFA,https://images.coinafrique.com/thumb_5374540_uploaded_image1_1749919718.jpg
Sorts cotton djiene,"Colobane, Dakar, Sénégal",10 000CFA,https://images.coinafrique.com/thumb_5374538_uploaded_image1_1749919612.jpg
Bonet,"Colobane, Dakar, Sénégal",Prix sur demande,https://images.coinafrique.com/thumb_5374410_uploaded_image1_1749913289.jpg
Djialab Homme,"Colobane, Dakar, Sénégal",15 000CFA,https://images.coinafrique.com/thumb_5374420_uploaded_image1_1749913604.jpg
Djialab  Homme,"Colobane, Dakar, Sénégal",10 000CFA,https://images.coinafrique.com/thumb_5374415_uploaded_image1_1749913505.jpg
Djialabé  ,"Colobane, Dakar, Sénégal",15 000CFA,https://images.coinafrique.com/thumb_5374429_uploaded_image1_1749913872.jpg
Chemise africaine,"Mbao, Dakar, Sénégal",11 000CFA,https://images.coinafrique.com/thumb_5421027_uploaded_image1_1752406068.jpg
Boubou homme traditionnel ,"Guediawaye, Dakar, Sénégal",35 000CFA,https://images.coinafrique.com/thumb_5414801_uploaded_image1_1752066925.jpg
Polo en coton ,"Dakar, Sénégal",8 000CFA,https://images.coinafrique.com/thumb_5405576_uploaded_image1_1751582047.jpg
Ensemble short,"Dakar, Sénégal",9 000CFA,https://images.coinafrique.com/thumb_5380938_uploaded_image1_1750267359.jpg
Pantalon bas large,"Dakar, Sénégal",7 000CFA,https://images.coinafrique.com/thumb_5380940_uploaded_image1_1750267409.jpg
Caleçons ,"Dakar, Sénégal",1 000CFA,https://images.coinafrique.com/thumb_5366447_uploaded_image1_1749473882.jpg
Pantalon kaki,"Dakar, Sénégal",8 000CFA,https://images.coinafrique.com/thumb_5379655_uploaded_image1_1750203441.jpg
Ensemble lacoste+ kaki,"Dakar, Sénégal",14 000CFA,https://images.coinafrique.com/thumb_5379656_uploaded_image1_1750203540.jpg
Jalaba homme ,"Dakar, Sénégal",10 000CFA,https://images.coinafrique.com/thumb_5362186_uploaded_image1_1749145293.jpg
Pantalon bas large ,"Dakar, Sénégal",7 000CFA,https://images.coinafrique.com/thumb_5387381_uploaded_image1_1750640217.jpg
Ensemble short ,"Dakar, Sénégal",15 000CFA,https://images.coinafrique.com/thumb_5387379_uploaded_image1_1750639839.jpg
Polo en coton ,"Dakar, Sénégal",8 000CFA,https://images.coinafrique.com/thumb_5361125_uploaded_image1_1749079937.jpg
Pantalon homme ,"Dakar, Sénégal",7 000CFA,https://images.coinafrique.com/thumb_5364547_uploaded_image1_1749327860.jpg
Polo ,"Dakar, Sénégal",7 000CFA,https://images.coinafrique.com/thumb_5387074_uploaded_image1_1750620178.jpg
Short en jeans,"Dakar, Sénégal",6 000CFA,https://images.coinafrique.com/thumb_5387071_uploaded_image1_1750620076.jpg
T-shirts ,"Dakar, Sénégal",6 000CFA,https://images.coinafrique.com/thumb_5360742_uploaded_image1_1749062707.jpg
T-shirts ,"Dakar, Sénégal",6 000CFA,https://images.coinafrique.com/thumb_5360732_uploaded_image1_1749062350.jpg
Ensemble short,"Dakar, Sénégal",10 000CFA,https://images.coinafrique.com/thumb_5360719_uploaded_image1_1749061877.jpg
Jeans homme ,"Dakar, Sénégal",7 000CFA,https://images.coinafrique.com/thumb_5386899_uploaded_image1_1750612630.jpg
Short ,"Dakar, Sénégal",3 500CFA,https://images.coinafrique.com/thumb_5386893_uploaded_image1_1750612508.jpg
